"encargo_fiduciario_id";"documento_id";"valor_debito"
980097;230615;209021.0
980098;237051;209021.0
980099;230616;415939.0
980100;231301;415939.0
980101;231691;415939.0
980102;232423;415939.0
980103;233044;415939.0
980104;233351;415939.0
980105;234033;415939.0
980106;237160;415939.0
980107;237551;415939.0
980108;230617;429683.0
980109;231302;429683.0
980110;237284;429683.0
980111;237629;429683.0
980112;230618;207218.0
980113;237215;207218.0
980114;230619;208941.0
980115;231625;208941.0
980116;232208;208941.0
980117;237102;208941.0
980118;237762;208941.0
980119;230620;225151.0
980120;237114;225151.0
980121;230621;429683.0
980122;231307;429683.0
980123;231701;429683.0
980124;232373;429683.0
980125;233216;429683.0
980126;233323;429683.0
980127;233842;429683.0
980128;237088;429683.0
980129;237447;429683.0
980130;237999;429683.0
980131;230622;221641.0
980132;237071;221641.0
980133;230623;210021.0
980134;231626;210021.0
980135;232213;210021.0
980136;232996;210021.0
980137;233686;210021.0
980138;237101;210021.0
980139;230624;429683.0
980140;231310;429683.0
980141;231705;429683.0
980142;237248;429683.0
980143;237612;429683.0
980144;238027;429683.0
980145;230625;223061.0
980146;231627;223061.0
980147;232216;223061.0
980148;237070;223061.0
980149;237770;223061.0
980150;230626;429683.0
980151;231313;429683.0
980152;237257;429683.0
980153;230627;214627.0
980154;237213;214627.0
980155;230628;235004.0
980156;231579;235004.0
980157;237211;235004.0
980158;237755;235004.0
980159;230629;398531.0
980160;231314;398531.0
980161;231944;398531.0
980162;232383;398531.0
980163;237080;398531.0
980164;237444;398531.0
980165;237967;398531.0
980166;230630;260663.0
980167;237166;260663.0
980168;230631;195311.0
980169;231945;195311.0
980170;232664;195311.0
980171;232702;195311.0
980172;233825;195311.0
980173;235483;195311.0
980174;235888;195311.0
980175;236678;195311.0
980176;230632;429683.0
980177;231316;429683.0
980178;231717;429683.0
980179;232300;429683.0
980180;233197;429683.0
980181;233286;429683.0
980182;233836;429683.0
980183;235082;429683.0
980184;235882;429683.0
980185;237280;429683.0
980186;237628;429683.0
980187;238016;429683.0
980188;230633;308921.0
980189;231566;308921.0
980190;232085;308921.0
980191;237152;308921.0
980192;237774;308921.0
980193;230634;221641.0
980194;237141;221641.0
980195;230635;243135.0
980196;231320;243135.0
980197;232975;243135.0
980198;233617;243135.0
980199;237126;243135.0
980200;237541;243135.0
980201;230636;0.0
980202;237081;0.0
980203;230637;429683.0
980204;231322;429683.0
980205;237279;429683.0
980206;237626;429683.0
980207;230638;260291.0
980208;231568;260291.0
980209;237079;260291.0
980210;237778;260291.0
980211;230639;429683.0
980212;231323;429683.0
980213;231731;429683.0
980214;232661;429683.0
980215;232842;429683.0
980216;233550;429683.0
980217;233909;429683.0
980218;235845;429683.0
980219;236392;429683.0
980220;237077;429683.0
980221;237443;429683.0
980222;238010;429683.0
980223;230640;429683.0
980224;237163;429683.0
980225;230641;429683.0
980226;231325;429683.0
980227;231952;429683.0
980228;237544;429683.0
980229;237931;429683.0
980230;230642;195311.0
980231;230643;326021.0
980232;231659;326021.0
980233;237050;326021.0
980234;237828;326021.0
980235;230644;429683.0
980236;231326;429683.0
980237;231736;429683.0
980238;237061;429683.0
980239;237434;429683.0
980240;237860;429683.0
980241;230645;265891.0
980242;237078;265891.0
980243;230646;258399.0
980244;231584;258399.0
980245;232127;258399.0
980246;232834;258399.0
980247;233690;258399.0
980248;234189;258399.0
980249;237183;258399.0
980250;237732;258399.0
980251;230647;305713.0
980252;231556;305713.0
980253;232087;305713.0
980254;237642;305713.0
980255;230648;429683.0
980256;231328;429683.0
980257;231743;429683.0
980258;232429;429683.0
980259;233047;429683.0
980260;233564;429683.0
980261;234034;429683.0
980262;237228;429683.0
980263;237605;429683.0
980264;238033;429683.0
980265;230649;281631.0
980266;237119;281631.0
980267;230650;238741.0
980268;231628;238741.0
980269;237090;238741.0
980270;237785;238741.0
980271;230651;429683.0
980272;231330;429683.0
980273;237145;429683.0
980274;237473;429683.0
980275;230652;429683.0
980276;231589;429683.0
980277;232130;429683.0
980278;232794;429683.0
980279;233670;429683.0
980280;234173;429683.0
980281;237204;429683.0
980282;237750;429683.0
980283;230653;195311.0
980284;230654;195311.0
980285;230655;195311.0
980286;230656;195311.0
980287;230657;429683.0
980288;231332;429683.0
980289;231757;429683.0
980290;237229;429683.0
980291;237606;429683.0
980292;230658;429683.0
980293;237225;429683.0
980294;230659;259071.0
980295;237087;259071.0
980296;230660;214941.0
980297;231769;214941.0
980298;237124;214941.0
980299;230661;305713.0
980300;230662;429683.0
980301;231486;429683.0
980302;237143;429683.0
980303;237472;429683.0
980304;230663;429683.0
980305;231459;429683.0
980306;232041;429683.0
980307;237136;429683.0
980308;237470;429683.0
980309;237877;429683.0
980310;230664;305713.0
980311;231560;305713.0
980312;232092;305713.0
980313;232353;305713.0
980314;232822;305713.0
980315;233464;305713.0
980316;234182;305713.0
980317;236590;305713.0
980318;236982;305713.0
980319;237646;305713.0
980320;230665;429683.0
980321;237147;429683.0
980322;230666;221641.0
980323;237144;221641.0
980324;230667;221641.0
980325;231662;221641.0
980326;237046;221641.0
980327;237830;221641.0
980328;230668;223091.0
980329;231663;223091.0
980330;237111;223091.0
980331;230669;209021.0
980332;231632;209021.0
980333;232231;209021.0
980334;232763;209021.0
980335;237116;209021.0
980336;237849;209021.0
980337;230670;212701.0
980338;237122;212701.0
980339;230671;195311.0
980340;231526;195311.0
980341;232044;195311.0
980342;232408;195311.0
980343;233032;195311.0
980344;233476;195311.0
980345;233916;195311.0
980346;230672;195311.0
980347;231338;195311.0
980348;230673;195311.0
980349;231550;195311.0
980350;231966;195311.0
980351;232337;195311.0
980352;232987;195311.0
980353;233308;195311.0
980354;233891;195311.0
980355;235070;195311.0
980356;235841;195311.0
980357;230674;429683.0
980358;231339;429683.0
980359;231792;429683.0
980360;237622;429683.0
980361;230675;211301.0
980362;231633;211301.0
980363;232234;211301.0
980364;237040;211301.0
980365;230676;429683.0
980366;231340;429683.0
980367;237255;429683.0
980368;237527;429683.0
980369;230677;195311.0
980370;231341;195311.0
980371;230678;429683.0
980372;230679;429683.0
980373;231342;429683.0
980374;231800;429683.0
980375;232355;429683.0
980376;232997;429683.0
980377;233465;429683.0
980378;233896;429683.0
980379;235083;429683.0
980380;235663;429683.0
980381;237100;429683.0
980382;237451;429683.0
980383;237883;429683.0
980384;230680;429683.0
980385;231599;429683.0
980386;232157;429683.0
980387;234204;429683.0
980388;236148;429683.0
980389;236592;429683.0
980390;236799;429683.0
980391;237157;429683.0
980392;237716;429683.0
980393;230681;429683.0
980394;231344;429683.0
980395;231812;429683.0
980396;237275;429683.0
980397;237624;429683.0
980398;238018;429683.0
980399;230682;429683.0
980400;231600;429683.0
980401;237200;429683.0
980402;237746;429683.0
980403;230683;429683.0
980404;237243;429683.0
980405;230684;271606.0
980406;231601;271606.0
980407;232162;271606.0
980408;232967;271606.0
980409;233665;271606.0
980410;234169;271606.0
980411;237210;271606.0
980412;237754;271606.0
980413;230685;429683.0
980414;231345;429683.0
980415;231813;429683.0
980416;232297;429683.0
980417;233196;429683.0
980418;233456;429683.0
980419;233871;429683.0
980420;236427;429683.0
980421;236817;429683.0
980422;237137;429683.0
980423;237471;429683.0
980424;237994;429683.0
980425;230686;214627.0
980426;231605;214627.0
980427;232837;214627.0
980428;233693;214627.0
980429;234191;214627.0
980430;235509;214627.0
980431;236174;214627.0
980432;236676;214627.0
980433;237179;214627.0
980434;237730;214627.0
980435;230687;221641.0
980436;237055;221641.0
980437;230688;254001.0
980438;237131;254001.0
980439;230689;195311.0
980440;231346;195311.0
980441;230690;195311.0
980442;231635;195311.0
980443;230691;429683.0
980444;231348;429683.0
980445;231820;429683.0
980446;232424;429683.0
980447;233045;429683.0
980448;233352;429683.0
980449;237052;429683.0
980450;237431;429683.0
980451;237982;429683.0
980452;230692;221641.0
980453;237082;221641.0
980454;230693;209021.0
980455;231667;209021.0
980456;230694;209021.0
980457;237110;209021.0
980458;230695;429683.0
980459;231351;429683.0
980460;237058;429683.0
980461;237433;429683.0
980462;230696;429683.0
980463;231353;429683.0
980464;231833;429683.0
980465;232379;429683.0
980466;233219;429683.0
980467;233327;429683.0
980468;233843;429683.0
980469;237251;429683.0
980470;237615;429683.0
980471;238025;429683.0
980472;230697;266481.0
980473;237085;266481.0
980474;230698;429683.0
980475;231355;429683.0
980476;231836;429683.0
980477;237150;429683.0
980478;237478;429683.0
980479;237854;429683.0
980480;230699;0.0
980481;231670;0.0
980482;232238;0.0
980483;232704;0.0
980484;233860;0.0
980485;230700;429683.0
980486;231358;429683.0
980487;237234;429683.0
980488;237609;429683.0
980489;230701;429683.0
980490;231499;429683.0
980491;237261;429683.0
980492;230702;429683.0
980493;237231;429683.0
980494;230703;211121.0
980495;231638;211121.0
980496;237142;211121.0
980497;237811;211121.0
980498;230704;203993.0
980499;237189;203993.0
980500;230705;429683.0
980501;231501;429683.0
980502;231993;429683.0
980503;232421;429683.0
980504;233042;429683.0
980505;233478;429683.0
980506;234032;429683.0
980507;237233;429683.0
980508;237432;429683.0
980509;230706;195311.0
980510;231639;195311.0
980511;232804;195311.0
980512;233673;195311.0
980513;235101;195311.0
980514;236670;195311.0
980515;230707;211811.0
980516;237064;211811.0
980517;230708;195311.0
980518;230709;195311.0
980519;231366;195311.0
980520;231853;195311.0
980521;230710;0.0
980522;231367;0.0
980523;231854;0.0
980524;232333;0.0
980525;233208;0.0
980526;233306;0.0
980527;233889;0.0
980528;237620;0.0
980529;238022;0.0
980530;230711;429683.0
980531;231368;429683.0
980532;237148;429683.0
980533;237476;429683.0
980534;230712;429683.0
980535;231369;429683.0
980536;231996;429683.0
980537;232665;429683.0
980538;237241;429683.0
980539;237438;429683.0
980540;230713;258399.0
980541;231615;258399.0
980542;232188;258399.0
980543;233022;258399.0
980544;233702;258399.0
980545;234196;258399.0
980546;236040;258399.0
980547;236453;258399.0
980548;237172;258399.0
980549;237725;258399.0
980550;230714;429683.0
980551;231370;429683.0
980552;237616;429683.0
980553;230715;212901.0
980554;231640;212901.0
980555;232242;212901.0
980556;232859;212901.0
980557;233707;212901.0
980558;237054;212901.0
980559;237812;212901.0
980560;230716;195311.0
980561;231569;195311.0
980562;232101;195311.0
980563;232642;195311.0
980564;232714;195311.0
980565;233771;195311.0
980566;235286;195311.0
980567;236237;195311.0
980568;236442;195311.0
980569;230717;229991.0
980570;231641;229991.0
980571;232265;229991.0
980572;232703;229991.0
980573;233859;229991.0
980574;235120;229991.0
980575;237149;229991.0
980576;230718;429683.0
980577;231373;429683.0
980578;231864;429683.0
980579;232328;429683.0
980580;237118;429683.0
980581;237458;429683.0
980582;237997;429683.0
980583;230719;422449.0
980584;231376;422449.0
980585;231867;422449.0
980586;232401;422449.0
980587;233025;422449.0
980588;233473;422449.0
980589;233846;422449.0
980590;237240;422449.0
980591;237520;422449.0
980592;237914;422449.0
980593;230720;230321.0
980594;231570;230321.0
980595;232189;230321.0
980596;232677;230321.0
980597;232746;230321.0
980598;233795;230321.0
980599;235395;230321.0
980600;235968;230321.0
980601;236454;230321.0
980602;236776;230321.0
980603;237042;230321.0
980604;237814;230321.0
980605;230721;429683.0
980606;231377;429683.0
980607;231868;429683.0
980608;232366;429683.0
980609;233214;429683.0
980610;233319;429683.0
980611;233901;429683.0
980612;235085;429683.0
980613;235790;429683.0
980614;237254;429683.0
980615;237617;429683.0
980616;238024;429683.0
980617;230722;296547.0
980618;231554;296547.0
980619;232102;296547.0
980620;237640;296547.0
980621;230723;210854.0
980622;231607;210854.0
980623;232190;210854.0
980624;233681;210854.0
980625;234180;210854.0
980626;235549;210854.0
980627;236178;210854.0
980628;236680;210854.0
980629;237195;210854.0
980630;237741;210854.0
980631;230724;195311.0
980632;231381;195311.0
980633;232064;195311.0
980634;232644;195311.0
980635;232971;195311.0
980636;233616;195311.0
980637;230725;195311.0
980638;232266;195311.0
980639;232770;195311.0
980640;233793;195311.0
980641;235285;195311.0
980642;235643;195311.0
980643;236754;195311.0
980644;230726;429683.0
980645;231870;429683.0
