ID;NOMBRE
99;CENTRO DE ENSEÑANZA AUTOMOVILÍSTICA ESEVIAL
100;ESCUELA DE AVIACIÓN FLYING
101;ACADEMIA DE DANZA ORIENTAL MARÍA ISABEL ÁNGEL
102;ESCUELA DE AVIACIÓN INEC
103;ACADEMIA DE IDIOMAS EASY
104;UNIVERSIDAD COOPERATIVA DE COLOMBIA
105;ESCALA CONSCIENCIA & NEGOCIOS
106;CENTRO DE ENSEÑANZA AUTOMOVILÍSTICA AUTO ARANGO
107;CENTRO DE ENSEÑANZA AUTOMOVILÍSTICA PREMIUM
108;BERLITZ - EL POBLADO
109;CEA CONEXIÓN VIAL
110;ESCUELA DE CONDUCCIÓN CERTIAUTO
111;CENTRO DE ENSEÑANZA AUTOMOVILÍSTICA PASEMOVIL
112;POLITÉCNICO ANDINO IBEROAMERICANO
113;EDUCATIVA BLENDEX-CENTRO DE IDIOMAS
114;CENTRO DE IDIOMAS AMERICANO CIA
115;CENTRO DE IDIOMAS UNIVERSIDAD DE MEDELLÍN
116;CORPORACIÓN EDUCATIVA PARA EL TRABAJO Y EL DESARROLLO HUMANO INFO - LANGUAGE CENTER
117;CEA COOTRASANA
118;AUTOS Y VÍAS
119;ESCUELA DE CONDUCCIÓN APRENDAUTO
120;ESCUELA DE BELLEZA MARIELA
121;ENLACES CENTRO DE FORMACIÓN
122;CENTRO DE ENSEÑANZA AUTOMOVILÍSTICA CONDUCIMOS
123;CORPORACIÓN BALLET FOLKLÓRICO DE ANTIOQUIA, CENTRO DE FORMACIÓN EN DANZA
124;CENTRO DE ENSEÑANZA CONDUTRAMITES CLUB
125;CENTRO DE IDIOMAS G.L.S/GLOBAL LEARNING SYSTEM
126;ACADEMIA DE BELLEZA ZEUS
127;CENTRO LATINO - INSTITUCIÓN DE EDUCACIÓN PARA EL TRABAJO Y EL DESARROLLO HUMANO
128;INSTITUTO DE EDUCACION PARA EL TRABAJO Y EL DESARROLLO HUMANO COMFAMA
129;OLSA ACADEMIA DE IDIOMAS
130;UNIVERSIDAD ECCI
131;CERVIAL
132;CENTRO DE EDUCACIÓN LABORAL SINERGIA
133;INSTITUTO DE EDUCACIÓN PABLO TOBÓN URIBE
134;ESCUELA DE AUTOMOVILISMO FERRARI
135;UNIVERSIDAD SANTO TOMÁS
136;COLEGIATURA INMOBILIARIA
137;CENTRAUTO
138;INSTITUCIÓN EN ADMINISTRACIÓN DE CADENA DE SUMINISTRO (IACS)
139;FIANNA ESCUELA DE DANZA
